Dossier,Nb_Elements
"./train/Amblyglyphidodon_indicus",601
"./train/Anampses_caeruleopunctatus",22
"./train/Anampses_lineatus",97
"./train/Anampses_meleagrides_female",261
"./train/Anampses_twistii",209
"./train/Apolemichthys_trimaculatus",320
"./train/Arothron_nigropunctatus",261
"./train/Aulostomus_chinensis",275
"./train/Balistapus_undulatus",823
"./train/Bodianus_diana",229
"./train/Caesio_lunaris",385
"./train/Caesio_xanthonota",1150
"./train/Canthigaster_bennetti",40
"./train/Canthigaster_valentini",182
"./train/Caranx_melampygus",92
"./train/Centropyge_multispinis",287
"./train/Cephalopholis_argus",524
"./train/Chaetodon_auriga",1000
"./train/Chaetodon_falcula",306
"./train/Chaetodon_guttatissimus",638
"./train/Chaetodon_kleinii",746
"./train/Chaetodon_lunula",309
"./train/Chaetodon_melannotus",171
"./train/Chaetodon_meyeri",344
"./train/Chaetodon_trifascialis_adu",1822
"./train/Chaetodon_trifascialis_juv",69
"./train/Chaetodon_trifasciatus",1146
"./train/Cheilinus_fasciatus",376
"./train/Cheilinus_trilobatus",258
"./train/Cheilio_inermis",8
"./train/Chlorurus_sordidus_female",402
"./train/Chlorurus_sordidus_male",131
"./train/Chlorurus_strongylocephalus_female",366
"./train/Chromis_atripectoralis",196
"./train/Chromis_lepidolepis",373
"./train/Chromis_nigroanalis",375
"./train/Chromis_nigrura",257
"./train/Chromis_opercularis",233
"./train/Chromis_ternatensis",980
"./train/Chromis_viridis",550
"./train/Chromis_weberi",1734
"./train/Ctenochaetus_striatus",1008
"./train/Ctenochaetus_truncatus",364
"./train/Dascyllus_trimaculatus_adu",304
"./train/Dascyllus_trimaculatus_juv",180
"./train/Epibulus_insidiator",73
"./train/Epinephelus_rivulatus",11
"./train/Fistularia_commersonii",107
"./train/Forcipiger_flavissimus",160
"./train/Gnathodentex_aureolineatus",289
"./train/Gomphosus_caeruleus_female",1097
"./train/Gomphosus_caeruleus_juv",116
"./train/Gomphosus_caeruleus_male",1138
"./train/Gracila_albomarginata",374
"./train/Gymnothorax_javanicus",233
"./train/Halichoeres_cosmetus",206
"./train/Halichoeres_hortulanus",1493
"./train/Halichoeres_marginatus",349
"./train/Halichoeres_scapularis",330
"./train/Hemigymnus_fasciatus",890
"./train/Hemigymnus_melapterus",22
"./train/Hemitaurichthys_zoster",449
"./train/Heniochus_acuminatus",357
"./train/Heniochus_monoceros",181
"./train/Kyphosus_cinerascens",269
"./train/Labrichthys_unilineatus_adu",361
"./train/Labrichthys_unilineatus_juv",149
"./train/Labroides_bicolor_female",179
"./train/Labroides_bicolor_male",240
"./train/Labroides_dimidiatus_adu",998
"./train/Labroides_dimidiatus_juv",112
"./train/Lutjanus_bohar_adu",333
"./train/Lutjanus_bohar_juv",1027
"./train/Lutjanus_gibbus_adu",162
