Dossier,species,type,dimorphism,lifestage,test,train,total_img,order,family,genus
Chromis_viridis,chromis viridis,species,FALSE,NA,424,550,974,Perciformes,Pomacentridae,Chromis
Chromis_weberi,chromis weberi,species,FALSE,NA,1367,1734,3101,Perciformes,Pomacentridae,Chromis
Ctenochaetus_striatus,ctenochaetus striatus,species,FALSE,NA,424,1008,1432,Perciformes,Acanthuridae,Ctenochaetus
Ctenochaetus_truncatus,ctenochaetus truncatus,species,FALSE,NA,340,364,704,Perciformes,Acanthuridae,Ctenochaetus
Dascyllus_trimaculatus_adu,dascyllus trimaculatus,species,TRUE,adu,275,304,579,Perciformes,Pomacentridae,Dascyllus
Epibulus_insidiator,epibulus insidiator,species,FALSE,NA,47,73,120,Perciformes,Labridae,Epibulus
Fistularia_commersonii,fistularia commersonii,species,FALSE,NA,72,107,179,Syngnathiformes,Fistulariidae,Fistularia
Forcipiger_flavissimus,forcipiger flavissimus,species,FALSE,NA,153,160,313,Perciformes,Chaetodontidae,Forcipiger
Gnathodentex_aureolineatus,gnathodentex aureolineatus,species,FALSE,NA,211,289,500,Perciformes,Lethrinidae,Gnathodentex
Gomphosus_caeruleus_female,gomphosus caeruleus,species,TRUE,female,806,1097,1903,Perciformes,Labridae,Gomphosus
Gomphosus_caeruleus_juv,gomphosus caeruleus,species,TRUE,juv,57,116,173,Perciformes,Labridae,Gomphosus
Gomphosus_caeruleus_male,gomphosus caeruleus,species,TRUE,male,883,1138,2021,Perciformes,Labridae,Gomphosus
Gracila_albomarginata,gracila albomarginata,species,FALSE,NA,276,374,650,Perciformes,Serranidae,Gracila
Gymnothorax_javanicus,gymnothorax javanicus,species,FALSE,NA,2,233,235,Anguilliformes,Muraenidae,Gymnothorax
Halichoeres_cosmetus,halichoeres cosmetus,species,FALSE,NA,72,206,278,Perciformes,Labridae,Halichoeres
Halichoeres_hortulanus,halichoeres hortulanus,species,FALSE,NA,1308,1493,2801,Perciformes,Labridae,Halichoeres
Halichoeres_marginatus,halichoeres marginatus,species,FALSE,NA,121,349,470,Perciformes,Labridae,Halichoeres
Halichoeres_scapularis,halichoeres scapularis,species,FALSE,NA,25,330,355,Perciformes,Labridae,Halichoeres
Hemigymnus_fasciatus,hemigymnus fasciatus,species,FALSE,NA,535,890,1425,Perciformes,Labridae,Hemigymnus
Hemitaurichthys_zoster,hemitaurichthys zoster,species,FALSE,NA,216,449,665,Perciformes,Chaetodontidae,Hemitaurichthys
Heniochus_acuminatus,heniochus acuminatus,species,FALSE,NA,283,357,640,Perciformes,Chaetodontidae,Heniochus
Heniochus_monoceros,heniochus monoceros,species,FALSE,NA,94,181,275,Perciformes,Chaetodontidae,Heniochus
Kyphosus_cinerascens,kyphosus cinerascens,species,FALSE,NA,44,269,313,Perciformes,Kyphosidae,Kyphosus
Labrichthys_unilineatus_adu,labrichthys unilineatus,species,TRUE,adu,187,361,548,Perciformes,Labridae,Labrichthys
Labroides_bicolor_female,labroides bicolor,species,TRUE,female,42,179,221,Perciformes,Labridae,Labroides
Labroides_bicolor_male,labroides bicolor,species,TRUE,male,153,240,393,Perciformes,Labridae,Labroides
Labroides_dimidiatus_adu,labroides dimidiatus,species,TRUE,adu,856,998,1854,Perciformes,Labridae,Labroides
Lutjanus_bohar_adu,lutjanus bohar,species,TRUE,adu,154,333,487,Perciformes,Lutjanidae,Lutjanus
Lutjanus_bohar_juv,lutjanus bohar,species,TRUE,juv,678,1027,1705,Perciformes,Lutjanidae,Lutjanus
